client_id,requests_per_minute,requests_per_5_min,requests_per_hour,unique_hash_count,duplicate_ratio,pow_attempt_rate,hash_diversity,upload_to_query_ratio,inter_request_time_variance,burst_score,session_duration,cross_user_hash_overlap,attack_label
casa1,15000,15000,15000,1528,0.8981333333333333,0.8981333333333333,0.1018666666666666,1528.0,2.7085275232895468e-06,1.0,4.735837772,1326,ownership_fraud
hm_1,15000,15000,15000,2428,0.1317333333333333,0.1317333333333333,0.1618666666666666,0.1120218579234972,1.5537150465152145e-05,1.0,31.769527911,283,hash_probing
casa2,15000,15000,15000,2255,0.8496666666666667,0.8496666666666667,0.1503333333333333,2255.0,1.4129092652963636e-06,1.0,2.4229331690003164,2183,ownership_fraud
mds_0,15000,15000,15000,2974,0.7818666666666667,0.7818666666666667,0.1982666666666666,2.809080325960419,2.0840852262406454e-05,1.0,53.40486679399328,1101,dedup_dos
mds_1,15000,15000,15000,8483,0.0322,0.0322,0.5655333333333333,0.0622713303087955,1.7472724894061628e-05,1.0,35.61482734899619,588,hash_probing
casa3,15000,15000,15000,2181,0.8546,0.8546,0.1454,1089.5,2.4245119257204585e-06,1.0,4.258584143011831,1851,ownership_fraud
prn_0,15000,15000,15000,3895,0.7376,0.7376,0.2596666666666666,6.983772819472617,1.6655316597046545e-05,1.0,34.56590499699814,318,dedup_dos
casa4,15000,15000,15000,3644,0.7565333333333333,0.7565333333333333,0.2429333333333333,53.507462686567166,2.0022143977986353e-06,1.0,3.4901216969883535,3590,ownership_fraud
casa5,15000,15000,15000,2328,0.8448,0.8448,0.1552,2328.0,1.0993798637762722e-06,1.0,2.022894782014191,2308,ownership_fraud
prn_1,15000,15000,15000,13147,0.0079333333333333,0.0079333333333333,0.8764666666666666,0.0642208395909318,1.4139695612256374e-05,1.0,27.07770609704312,161,hash_probing
casa6,15000,15000,15000,1222,0.9185333333333332,0.9185333333333332,0.0814666666666666,1222.0,2.512643434727542e-06,1.0,4.426798454020172,1094,ownership_fraud
proj_0,14756,15000,15000,3925,0.7150666666666666,0.7150666666666666,0.2616666666666666,1.684673366834171,2.1948639832051837e-05,0.9837333333333332,61.14935499499552,520,dedup_dos
casa7,15000,15000,15000,1319,0.9120666666666668,0.9120666666666668,0.0879333333333333,1318.0,2.470075730185541e-06,1.0,4.252227692981251,1202,ownership_fraud
